oracion;tipo
Nosotros entrando y ustedes saliendo.;si
Ana pinta flores y después las borda en tela.;si
No sabemos si viajar a España o quedarnos en casa.;si
O me prestas tus zapatos, o te los quito a la fuerza.;si
¿Estudias o trabajas?;no
Fuimos a la escuela, pero suspendieron las clases.;no
Nos pidieron tomates, sin embargo trajimos cebollas.;no
La policía se está llevando a unos y a otros.;no
No protestaron los ricos, sino que lo hicieron los pobres.;no
Llegamos tarde, así que los profesores se enojaron bastante.;no
"Aprobé todos los exámenes; sin embargo, no me permitieron ingresar al curso.";si
En esta zona no llueve en todo el invierno, de modo que la fauna es muy escasa.;si
El espectáculo ya empezó y el actor principal aún no ha llegado.;si
El sistema nervioso central comanda las funciones vitales neurovegetativas, es decir que todas las decisiones que tomamos dependen de este sistema.;si
Los resultados son favorables, así que le daremos el alta pronto.;no
Las aves y los reptiles son ovíparos, esto es, sus crías se forman en el interior de huevos, que eclosionan a la madurez.;no
Tendremos que apurarnos o el autobús se irá sin nosotros.;si
Todos recibirán sus premios, salvo que los jurados se retracten.;no
Los pulmones toman aire enriquecido en oxígeno y el corazón utiliza ese oxígeno para bombear.;si
Mis padres veranearon en la playa, pero nosotros decidimos quedarnos.;si
Sé bailar muy bien, mas nadie me enseñó a cantar.;si
"Como abogado, se ha especializado en derecho comercial; no obstante, el derecho internacional es lo que más le interesa.";si
No es la primera vez que se queja de su magro sueldo e intuyo que en poco tiempo presentará la renuncia.;no
"El día estaba muy nublado; igual lo pasamos muy bien.";si
La profesora no vino, así que nos retiramos una hora antes.;si
Tu trabajo es muy bueno, aunque te aconsejo que lo revise un superior antes de entregarlo.;no
Me gustan todas las comidas, pero los ravioles de mi abuela son mis preferidos.;si
Yo no quiero quedarme sin trabajo, pero mi jefe está colmando mi paciencia.;si
Las computadoras evolucionaron en los últimos tiempos y el empleo en la industria tecnológica aumentó notablemente.;si
Compramos un juego de living, aún no lo trajeron.;no
Mi madre se ocupó de todo, es decir que no hizo falta contratar a un decorador.;si
"Mi hijo mayor estudia Derecho; el menor es deportista profesional.";si
Hablemos en voz baja porque mi hijo está durmiendo.;si
Mis amigos fueron al cine, pero la película no les gustó.;si
Vino la profesora titular y aprendimos mucho sobre la Guerra Fría.;si
Me escondí detrás de la puerta: era una conversación que me interesaba escuchar.;no
Ciertos insectos sufren metamorfosis, es decir que sus cuerpos cambian profundamente a lo largo de su ciclo de vida.;si
Me avisó que se iba de la oficina temprano, pero al final nos quedamos hasta tarde.;si
Me compré varios libros, aunque ninguno es muy bueno.;si
"Su actuación de anoche fue excelente; sin embargo, a los periodistas no les gustó.";si
Es probable que ese candidato gane, aunque las encuestas marquen lo contrario.;si
El administrador prometió arreglar la casa, pero aún no contrataron a los obreros.;si
No venderá su auto, lo usaremos nosotros durante un tiempo.;si
Puedes quedarte a cenar o podemos ir al restaurante de la esquina.;si
Avisó que llegará más tarde, de manera que podemos comenzar con la reunión.;si
No suele asistir a las fiestas porque sus amigos nunca lo invitan.;si
Acepta ese presupuesto o llamaremos a otro profesional.;no
La tarde se extingue, el sol se va poniendo rojizo.;si
Me volvieron a explicar el tema y pude entenderlo mejor.;si
"El dólar subió; por lo tanto, no es un buen momento para vender la casa.";si
No cambiará su punto de vista, ni lograremos que entre en razón.;si
¿Vas a ponerte ese vestido o te presto uno mío?;si
Ayer fumigaron en mi casa, así que estoy durmiendo en lo de mi padre.;si
Nos pueden venir a buscar o podemos ir caminando.;si
No voy a explicártelo de nuevo, así que no vas a entenderlo.;si
Estábamos esperando que empiece la obra y se escuchó un estruendo.;si
Tenemos dinero suficiente: el evento se hará tal como lo planeamos.;si
"Las acciones subieron; sin embargo, nuestros clientes perdieron la confianza en la empresa.";si
No tengo tiempo para esta discusión, pregúntale a tu padre.;si
Fuimos a comprar, pero no habia nada.;no
Salimos de viaje y nos perdimos.;no
Empezamos un rompecabezas y no lo terminamos.;no
Arreglo la tuberia, sin embargo, sigue sin salir agua caliente.;no
Muto a nuevas variantes y empezo una nueva cuarentena.;no
Contagio al resto de sus compañeros y no les aviso.;no
Ella entro a un gimnasio, pero solo duro una semana.;no
¿Saldras hoy o te vas a quedar en casa?;no
Entrenaron un dia entero y perdieron.;no
