oracion;tipo
El vidrio fue roto por los niños.;si
Mi billetera fue robada.;no
El alumno es felicitado por el profesor.;si
La mejor monografía fue escrita por Juan.;si
Los asaltantes fueron delatados por un informante anónimo.;si
Los archivos han sido alterados por la computadora.;si
El árbol fue plantado por el dueño anterior de la casa.;si
Nuevos billetes serán emitidos por el Estado.;si
Un posible fraude está siendo investigado por la policía.;si
El edificio ha sido construido por una empresa local.;si
Nuevos platos fueron anunciados para la primavera por el restaurante.;si
Veinte pedidos ya fueron entregados.;no
Este problema no puede ser solucionado por nadie.;si
En otras épocas, las mujeres eran invitadas a bailar por los hombres.;si
La verdad fue declarada por el acusado.;si
La carta no ha sido firmada por nadie.;si
Tarde o temprano, el tesoro va a ser encontrado.;no
El libro fue publicado hace dos años.;no
Una casa abandonada fue destruida por el fuego.;si
La oficina fue decorada por un profesional.;si
Mi computadora fue hackeada ayer por la tarde.;no
Los jugadores fueron recibidos en el aeropuerto por una multitud.;si
La directora de la escuela es temida por los alumnos.;si
El examen de Matemática fue reprobado por el joven.;si
La medida será instrumentada por el gobierno provincial a la brevedad.;si
América fue descubierta en 1492.;no
Una torta de vainilla y chocolate fue preparada por mi mamá.;si
Un baile de fin de año fue organizado por los chicos.;si
Lo que estaba escrito en el pizarrón fue borrado por la maestra.;si
El banco de la esquina de mi casa fue asaltado por un grupo de delincuentes.;si
El auto de mi papá fue reparado rápidamente por el mecánico.;si
Mi abuelo fue llevado al hospital por la ambulancia.;si
Todo el frente de mi casa fue pintado por mi tío.;si
El festival de Rock fue cerrado por los Rolling Stones.;si
El auto fue estacionado en la cochera nueva por mi primo.;si
La guitarra fue afinada por mi profesor de música.;si
Los chicos fueron dejados en la puerta de la escuela por mi suegra.;si
Las últimas elecciones en Estados Unidos fueron ganadas por Barack Obama.;si
Todas las sábanas de la casa fueron planchadas por mi mamá.;si
El torneo de tenis del barrio fue ganado por mi vecino.;si
La luna fue pisada por el hombre el 20 de julio de 1969.;si
El examen de ingreso a Medicina no fue aprobado por los chicos.;si
El último gol del partido fue anotado por Lionel Messi.;si
El libro fue escrito por Martín en menos de dos semanas.;si
Los sándwiches que habían sobrado fueron comidos por los chicos.;si
El avión fue derribado en la pradera.;no
El salmon fue atrapado durante su salto.;no
Los pulmones son afectados por el COVID.;no
El proceso de evaporación del agua es provocado.;no
El niño fue entregado en el parque.;no
El niño fue admitido.;no
El carro fue restaurado.;no
Fue atrapado por el niño que salto.;no
Fue asaltado cuando salio del banco.;no
Fue quemado en año viejo.;no
Es abrazado por las llamas del fuego.;no
Me han robado.;no
Fue movido por un trineo.;no
El artículo fue aprobado el dia de miercoles.;no
Fueron enviadas por correo electronico.;no
Fueron escritas en papel manila por juan el dia de lunes.;no
Fueron actualizadospor el propio sistema.;no
EL video juego fue lanzado en 1992.;no
Cuando se conocieron fueron presentados en un concierto.;no
Fue abatido por la policia durante la persecución.;no
Fueron embotelladas por Dasany Company.;no
Fueron recibidos en el salon de eventos por Juanita a las 8:00 de la noche.;no
Le hecharon de la casa por haberse embarazado.;no
