oracion;tipo
El vidrio fue roto por los niños.;passive
Mi billetera fue robada.;passive
El alumno es felicitado por el profesor.;passive
La mejor monografía fue escrita por Juan.;passive
Los asaltantes fueron delatados por un informante anónimo.;passive
Los archivos han sido alterados por la computadora.;passive
El árbol fue plantado por el dueño anterior de la casa.;passive
Nuevos billetes serán emitidos por el Estado.;passive
Un posible fraude está siendo investigado por la policía.;passive
El edificio ha sido construido por una empresa local.;passive
Nuevos platos fueron anunciados para la primavera por el restaurante.;passive
Veinte pedidos ya fueron entregados.;passive
Este problema no puede ser solucionado por nadie.;passive
En otras épocas, las mujeres eran invitadas a bailar por los hombres.;passive
La verdad fue declarada por el acusado.;passive
La carta no ha sido firmada por nadie.;passive
Tarde o temprano, el tesoro va a ser encontrado.;passive
El libro fue publicado hace dos años.;passive
Una casa abandonada fue destruida por el fuego.;passive
La oficina fue decorada por un profesional.;passive
Mi computadora fue hackeada ayer por la tarde.;passive
Los jugadores fueron recibidos en el aeropuerto por una multitud.;passive
La directora de la escuela es temida por los alumnos.;passive
El examen de Matemática fue reprobado por el joven.;passive
La medida será instrumentada por el gobierno provincial a la brevedad.;passive
América fue descubierta en 1492 por Colón.;passive
Una torta de vainilla y chocolate fue preparada por mi mamá.;passive
Un baile de fin de año fue organizado por los chicos.;passive
Lo que estaba escrito en el pizarrón fue borrado por la maestra.;passive
El banco de la esquina de mi casa fue asaltado por un grupo de delincuentes.;passive
El auto de mi papá fue reparado rápidamente por el mecánico.;passive
Mi abuelo fue llevado al hospital por la ambulancia.;passive
Todo el frente de mi casa fue pintado por mi tío.;passive
El festival de Rock fue cerrado por los Rolling Stones.;passive
El auto fue estacionado en la cochera nueva por mi primo.;passive
La guitarra fue afinada por mi profesor de música.;passive
Los chicos fueron dejados en la puerta de la escuela por mi suegra.;passive
Las últimas elecciones en Estados Unidos fueron ganadas por Barack Obama.;passive
Todas las sábanas de la casa fueron planchadas por mi mamá.;passive
El torneo de tenis del barrio fue ganado por mi vecino.;passive
La luna fue pisada por el hombre el 20 de julio de 1969.;passive
El examen de ingreso a Medicina no fue aprobado por los chicos.;passive
El último gol del partido fue anotado por Lionel Messi.;passive
El libro fue escrito por Martín en menos de dos semanas.;passive
Los sándwiches que habían sobrado fueron comidos por los chicos.;passive
Nosotros entrando y ustedes saliendo.;coordinada
